Report, Date,Community Area
Vacant/Abandoned Building,3/9/2011,67
Vacant/Abandoned Building,3/9/2011,69
Vacant/Abandoned Building,3/9/2011,69
Vacant/Abandoned Building,3/10/2011,49
Vacant/Abandoned Building,3/10/2011,26
Vacant/Abandoned Building,3/10/2011,49
Vacant/Abandoned Building,3/10/2011,9
Vacant/Abandoned Building,3/11/2011,29
Vacant/Abandoned Building,3/11/2011,23
Vacant/Abandoned Building,3/11/2011,75
Vacant/Abandoned Building,3/11/2011,9
Vacant/Abandoned Building,3/11/2011,15
Vacant/Abandoned Building,3/11/2011,23
Vacant/Abandoned Building,3/11/2011,25
Vacant/Abandoned Building,3/11/2011,26
Vacant/Abandoned Building,3/11/2011,25
Vacant/Abandoned Building,3/12/2011,26
Vacant/Abandoned Building,3/13/2011,49
Vacant/Abandoned Building,3/13/2011,49
Vacant/Abandoned Building,3/13/2011,23
Vacant/Abandoned Building,3/14/2011,49
Vacant/Abandoned Building,3/14/2011,30
Vacant/Abandoned Building,3/14/2011,52
Vacant/Abandoned Building,3/14/2011,43
Vacant/Abandoned Building,3/14/2011,25
Vacant/Abandoned Building,3/14/2011,25
Vacant/Abandoned Building,3/14/2011,68
Vacant/Abandoned Building,3/14/2011,67
Vacant/Abandoned Building,3/15/2011,53
Vacant/Abandoned Building,3/15/2011,49
Vacant/Abandoned Building,3/15/2011,71
Vacant/Abandoned Building,3/15/2011,53
Vacant/Abandoned Building,3/15/2011,74
Vacant/Abandoned Building,3/15/2011,67
Vacant/Abandoned Building,3/15/2011,69
Vacant/Abandoned Building,3/15/2011,68
Vacant/Abandoned Building,3/15/2011,23
Vacant/Abandoned Building,3/15/2011,16
Vacant/Abandoned Building,3/16/2011,52
Vacant/Abandoned Building,3/16/2011,24
Vacant/Abandoned Building,3/16/2011,29
Vacant/Abandoned Building,3/16/2011,67
Vacant/Abandoned Building,3/16/2011,27
Vacant/Abandoned Building,3/16/2011,8
Vacant/Abandoned Building,3/16/2011,26
Vacant/Abandoned Building,3/17/2011,61
Vacant/Abandoned Building,3/17/2011,27
Vacant/Abandoned Building,3/17/2011,67
Vacant/Abandoned Building,3/17/2011,71
Vacant/Abandoned Building,3/17/2011,23
Vacant/Abandoned Building,3/17/2011,69
Vacant/Abandoned Building,3/17/2011,43
Vacant/Abandoned Building,3/17/2011,25
Vacant/Abandoned Building,3/18/2011,69
Vacant/Abandoned Building,3/18/2011,44
Vacant/Abandoned Building,3/18/2011,49
Vacant/Abandoned Building,3/18/2011,58
Vacant/Abandoned Building,3/19/2011,42
Vacant/Abandoned Building,3/19/2011,26
Vacant/Abandoned Building,3/20/2011,23
Vacant/Abandoned Building,3/20/2011,50
Vacant/Abandoned Building,3/20/2011,53
Vacant/Abandoned Building,3/21/2011,49
Vacant/Abandoned Building,3/21/2011,44
Vacant/Abandoned Building,3/21/2011,46
Vacant/Abandoned Building,3/22/2011,61
Vacant/Abandoned Building,3/22/2011,71
Vacant/Abandoned Building,3/22/2011,7
Vacant/Abandoned Building,3/23/2011,25
Vacant/Abandoned Building,3/23/2011,19
Vacant/Abandoned Building,3/23/2011,23
Vacant/Abandoned Building,3/23/2011,23
Vacant/Abandoned Building,3/23/2011,23
Vacant/Abandoned Building,3/23/2011,23
Vacant/Abandoned Building,3/23/2011,4
Vacant/Abandoned Building,3/24/2011,43
Vacant/Abandoned Building,3/24/2011,67
Vacant/Abandoned Building,3/24/2011,29
Vacant/Abandoned Building,3/24/2011,22
Vacant/Abandoned Building,3/24/2011,29
Vacant/Abandoned Building,3/24/2011,46
Vacant/Abandoned Building,3/24/2011,5
Vacant/Abandoned Building,3/25/2011,23
Vacant/Abandoned Building,3/25/2011,49
Vacant/Abandoned Building,3/28/2011,40
Vacant/Abandoned Building,3/28/2011,23
Vacant/Abandoned Building,3/28/2011,3
Vacant/Abandoned Building,3/29/2011,29
Vacant/Abandoned Building,3/29/2011,67
Vacant/Abandoned Building,3/29/2011,67
Vacant/Abandoned Building,3/29/2011,25
Vacant/Abandoned Building,3/29/2011,42
Vacant/Abandoned Building,3/29/2011,2
Vacant/Abandoned Building,3/29/2011,40
