Report,Date,Community Area
Vacant/Abandoned Building,04/22/2011,27
Vacant/Abandoned Building,04/22/2011,28
Vacant/Abandoned Building,04/22/2011,49
Vacant/Abandoned Building,04/22/2011,66
Vacant/Abandoned Building,04/23/2011,14
Vacant/Abandoned Building,04/23/2011,27
Vacant/Abandoned Building,04/23/2011,43
Vacant/Abandoned Building,04/23/2011,68
Vacant/Abandoned Building,04/23/2011,73
Vacant/Abandoned Building,04/24/2011,22
Vacant/Abandoned Building,04/25/2011,23
Vacant/Abandoned Building,04/25/2011,26
Vacant/Abandoned Building,04/25/2011,43
Vacant/Abandoned Building,04/25/2011,46
Vacant/Abandoned Building,04/25/2011,67
Vacant/Abandoned Building,04/25/2011,77
Vacant/Abandoned Building,04/26/2011,7
Vacant/Abandoned Building,04/26/2011,23
Vacant/Abandoned Building,04/26/2011,44
Vacant/Abandoned Building,04/26/2011,68
Vacant/Abandoned Building,04/27/2011,4
Vacant/Abandoned Building,04/27/2011,22
Vacant/Abandoned Building,04/27/2011,23
Vacant/Abandoned Building,04/27/2011,25
Vacant/Abandoned Building,04/27/2011,29
Vacant/Abandoned Building,04/27/2011,66
Vacant/Abandoned Building,04/27/2011,69
Vacant/Abandoned Building,04/28/2011,6
Vacant/Abandoned Building,04/28/2011,25
Vacant/Abandoned Building,04/28/2011,25
Vacant/Abandoned Building,04/28/2011,29
Vacant/Abandoned Building,04/28/2011,44
Vacant/Abandoned Building,04/28/2011,67
Vacant/Abandoned Building,04/28/2011,67
Vacant/Abandoned Building,04/28/2011,68
Vacant/Abandoned Building,04/28/2011,71
Vacant/Abandoned Building,04/29/2011,25
Vacant/Abandoned Building,04/29/2011,29
Vacant/Abandoned Building,04/29/2011,29
Vacant/Abandoned Building,04/29/2011,66
Vacant/Abandoned Building,04/30/2011,66
Vacant/Abandoned Building,04/30/2011,71
Vacant/Abandoned Building,05/01/2011,43
Vacant/Abandoned Building,05/02/2011,25
Vacant/Abandoned Building,05/02/2011,44
Vacant/Abandoned Building,05/03/2011,7
Vacant/Abandoned Building,05/03/2011,17
Vacant/Abandoned Building,05/03/2011,22
Vacant/Abandoned Building,05/03/2011,44
Vacant/Abandoned Building,05/03/2011,47
Vacant/Abandoned Building,05/03/2011,53
Vacant/Abandoned Building,05/03/2011,59
Vacant/Abandoned Building,05/03/2011,61
Vacant/Abandoned Building,05/03/2011,66
Vacant/Abandoned Building,05/03/2011,66
Vacant/Abandoned Building,05/03/2011,67
Vacant/Abandoned Building,05/03/2011,69
Vacant/Abandoned Building,05/04/2011,26
Vacant/Abandoned Building,05/04/2011,40
Vacant/Abandoned Building,05/04/2011,48
Vacant/Abandoned Building,05/05/2011,5
Vacant/Abandoned Building,05/05/2011,66
Vacant/Abandoned Building,05/06/2011,27
Vacant/Abandoned Building,05/06/2011,43
Vacant/Abandoned Building,05/06/2011,67
Vacant/Abandoned Building,05/06/2011,75
Vacant/Abandoned Building,05/07/2011,49
Vacant/Abandoned Building,05/08/2011,58
Vacant/Abandoned Building,05/09/2011,46
Vacant/Abandoned Building,05/09/2011,46
Vacant/Abandoned Building,05/09/2011,46
Vacant/Abandoned Building,05/09/2011,49
Vacant/Abandoned Building,05/09/2011,68
Vacant/Abandoned Building,05/09/2011,71
Vacant/Abandoned Building,05/10/2011,22
Vacant/Abandoned Building,05/10/2011,68
Vacant/Abandoned Building,05/11/2011,23
Vacant/Abandoned Building,05/11/2011,26
Vacant/Abandoned Building,05/11/2011,40
Vacant/Abandoned Building,05/11/2011,51
Vacant/Abandoned Building,05/11/2011,66
Vacant/Abandoned Building,05/11/2011,69
Vacant/Abandoned Building,05/12/2011,21
Vacant/Abandoned Building,05/12/2011,25
Vacant/Abandoned Building,05/12/2011,40
Vacant/Abandoned Building,05/12/2011,49
Vacant/Abandoned Building,05/12/2011,68
Vacant/Abandoned Building,05/12/2011,68
Vacant/Abandoned Building,05/12/2011,68
Vacant/Abandoned Building,05/12/2011,71
Vacant/Abandoned Building,05/13/2011,29
Vacant/Abandoned Building,05/13/2011,43
Vacant/Abandoned Building,05/13/2011,49
Vacant/Abandoned Building,05/14/2011,4
