Date, Community Area
05/12/2011,21
05/12/2011,68
05/13/2011,49
05/13/2011,29
05/13/2011,43
05/14/2011,4
05/15/2011,61
05/16/2011,33
05/16/2011,67
05/16/2011,49
05/16/2011,63
05/16/2011,68
05/16/2011,63
05/17/2011,73
05/17/2011,24
05/17/2011,23
05/17/2011,75
05/17/2011,25
05/18/2011,71
05/18/2011,66
05/18/2011,42
05/18/2011,66
05/18/2011,45
05/18/2011,69
05/19/2011,25
05/19/2011,23
05/19/2011,69
05/19/2011,29
05/19/2011,49
05/19/2011,52
05/19/2011,13
05/19/2011,46
05/19/2011,67
05/19/2011,19
05/20/2011,43
05/20/2011,25
05/20/2011,23
05/20/2011,40
05/20/2011,69
05/20/2011,52
05/20/2011,66
05/20/2011,44
05/21/2011,67
05/21/2011,52
05/21/2011,68
05/21/2011,67
05/21/2011,26
05/21/2011,69
05/22/2011,61
05/22/2011,44
05/22/2011,43
05/23/2011,49
05/23/2011,25
05/23/2011,41
05/23/2011,30
05/23/2011,30
05/23/2011,29
05/23/2011,53
05/23/2011,42
05/24/2011,3
05/24/2011,25
05/24/2011,25
05/24/2011,49
05/24/2011,67
05/24/2011,71
05/24/2011,52
05/24/2011,52
05/24/2011,52
05/24/2011,18
05/25/2011,49
05/25/2011,49
05/25/2011,49
05/25/2011,27
05/25/2011,70
05/25/2011,23
05/25/2011,53
05/25/2011,27
05/25/2011,69
05/25/2011,45
05/26/2011,49
05/26/2011,53
05/26/2011,49
05/26/2011,24
05/27/2011,25
05/27/2011,29
05/27/2011,29
05/28/2011,26
05/28/2011,14
05/30/2011,69
05/30/2011,25
05/31/2011,43
05/31/2011,42
05/31/2011,46
05/31/2011,46
05/31/2011,27
05/31/2011,71
06/01/2011,44
06/01/2011,25
06/01/2011,67
06/01/2011,67
06/01/2011,68
06/01/2011,52
06/01/2011,26
06/01/2011,27
06/01/2011,17
06/01/2011,69
06/01/2011,71
06/02/2011,69
06/02/2011,42
06/02/2011,67
06/02/2011,45
06/03/2011,21
06/04/2011,67
06/04/2011,49
06/04/2011,59
06/05/2011,
06/06/2011,67
06/06/2011,44
06/06/2011,25
06/06/2011,25
06/06/2011,67
06/06/2011,70
06/07/2011,8
06/07/2011,42
06/07/2011,21
06/07/2011,42
06/07/2011,48
06/07/2011,70
06/07/2011,18
06/08/2011,69
06/08/2011,68
06/08/2011,52
06/08/2011,49
06/08/2011,26
06/08/2011,58
06/08/2011,43
06/08/2011,44
06/09/2011,49
06/09/2011,7
06/09/2011,35
06/09/2011,70
06/10/2011,55
06/10/2011,67
06/10/2011,21
06/10/2011,25
06/10/2011,46
06/11/2011,28
06/12/2011,25
06/12/2011,49
06/13/2011,30
06/13/2011,66
06/13/2011,25
06/13/2011,63
06/14/2011,61
06/14/2011,23
06/14/2011,23
06/14/2011,69
06/14/2011,42
06/14/2011,43
06/14/2011,25
06/15/2011,49
06/15/2011,53
06/15/2011,67
06/15/2011,25
06/15/2011,75
06/15/2011,48
06/15/2011,48
06/15/2011,44
06/16/2011,67
06/16/2011,58
06/16/2011,67
06/16/2011,16
06/16/2011,68
06/16/2011,22
06/16/2011,66
06/16/2011,63
06/16/2011,66
06/17/2011,58
06/17/2011,17
06/17/2011,67
06/17/2011,53
06/17/2011,53
06/17/2011,30
06/18/2011,19
06/19/2011,23
06/20/2011,50
06/20/2011,43
06/20/2011,24
06/20/2011,73
06/20/2011,61
06/20/2011,68
06/20/2011,28
06/21/2011,27
06/21/2011,49
06/21/2011,71
06/21/2011,71
06/21/2011,6
06/21/2011,53
06/21/2011,46
05/10/2011,68
06/22/2011,67
06/22/2011,75
06/22/2011,66
06/22/2011,66
06/22/2011,52
06/22/2011,52
06/22/2011,52
06/22/2011,67
06/22/2011,73
06/22/2011,44
06/22/2011,35
06/23/2011,49
06/23/2011,25
06/23/2011,49
06/23/2011,47
06/23/2011,43
06/23/2011,29
06/23/2011,67
06/24/2011,49
06/24/2011,44
06/24/2011,67
06/24/2011,27
06/24/2011,29
06/24/2011,70
06/25/2011,18
06/25/2011,68
06/26/2011,35
06/26/2011,67
06/27/2011,26
06/27/2011,26
06/27/2011,43
06/27/2011,67
06/27/2011,68
06/27/2011,26
06/27/2011,68
06/27/2011,66
06/27/2011,67
06/27/2011,67
06/27/2011,68
06/28/2011,5
06/28/2011,67
06/28/2011,67
06/28/2011,49
06/28/2011,28
06/28/2011,68
06/28/2011,68
06/28/2011,53
06/28/2011,22
06/29/2011,30
06/29/2011,39
06/29/2011,51
06/29/2011,26
06/29/2011,42
06/30/2011,29
06/30/2011
06/30/2011,38
06/30/2011,68
06/30/2011,73
06/30/2011,23
06/30/2011,25
07/01/2011,29
07/01/2011,29
07/01/2011,69
07/01/2011,30
07/02/2011,49
07/02/2011,68
07/02/2011,20
07/03/2011,48
07/04/2011,48
07/04/2011,49
07/05/2011,48
07/05/2011,73
07/05/2011,49
07/05/2011,57
07/05/2011,68
07/05/2011,67
07/05/2011,42
07/06/2011,68
07/06/2011,68
07/06/2011,68
07/06/2011,15
07/06/2011,64
07/06/2011,51
07/07/2011,73
07/07/2011,43
07/07/2011,49
07/07/2011,67
07/07/2011,38
07/07/2011,36
07/07/2011,71
07/07/2011,46
07/07/2011,73
07/07/2011,53
07/07/2011,44
07/07/2011,48
07/07/2011,16
07/07/2011,46
07/08/2011,25
07/08/2011,49
07/08/2011,25
07/08/2011,53
07/08/2011,68
07/08/2011,75
07/09/2011,23
07/09/2011,38
07/09/2011,44
07/09/2011,7
07/09/2011,69
07/11/2011,53
07/10/2011,73
07/10/2011,43
07/11/2011,13
07/11/2011,49
07/11/2011,46
07/11/2011,70
07/11/2011,23
07/11/2011,29
07/11/2011,29
07/11/2011,26
07/12/2011,26
07/12/2011,67
07/12/2011,30
07/12/2011,29
07/12/2011,42
07/12/2011,29
07/12/2011,69
07/13/2011,42
07/13/2011,25
07/13/2011,52
07/13/2011,66
07/13/2011,52
07/13/2011,68
07/14/2011,71
07/14/2011,53
07/14/2011,71
07/14/2011,27
07/14/2011,6
07/14/2011,25
07/14/2011,48
07/14/2011,29
07/15/2011,68
07/15/2011,26
07/15/2011,29
07/15/2011,67
07/15/2011,19
07/15/2011,19
07/15/2011,25
07/15/2011,25
07/15/2011,25
07/16/2011,67
07/18/2011,74
07/18/2011,68
07/18/2011,70
07/19/2011,37
07/19/2011,69
07/19/2011,8
07/19/2011,66
07/19/2011,41
07/19/2011,68
07/19/2011,17
07/19/2011,67
07/19/2011,26
07/19/2011,75
07/19/2011,26
07/19/2011,26
07/19/2011,26
07/19/2011,26
07/20/2011,38
07/21/2011,46
07/21/2011,69
07/21/2011,69
07/21/2011,25
07/21/2011,68
07/21/2011,68
07/21/2011,67
07/22/2011,66
07/22/2011,10
07/22/2011,46
07/22/2011,54
07/22/2011,25
07/22/2011,25
07/22/2011,25
07/22/2011,25
07/22/2011,25
07/22/2011,25
07/22/2011,25
07/22/2011,25
07/22/2011,25
07/22/2011,26
07/22/2011,26
07/22/2011,26
07/22/2011,25
07/22/2011,26
07/22/2011,26
07/22/2011,26
07/22/2011,61
07/22/2011,44
07/22/2011,61
07/23/2011,26
07/23/2011,61
07/24/2011,53
07/24/2011,69
07/24/2011,69
07/25/2011,31
07/25/2011,30
07/25/2011,25
07/25/2011,26
07/25/2011,26
07/25/2011,26
07/25/2011,26
07/25/2011,26
07/25/2011,26
07/25/2011,26
07/25/2011,26
07/25/2011,26
07/25/2011,26
07/25/2011,26
07/26/2011,23
07/26/2011,25
07/26/2011,25
07/26/2011,69
07/26/2011,40
07/26/2011,22
07/27/2011,29
07/27/2011,25
07/27/2011,70
07/27/2011,26
07/27/2011,16
07/27/2011,23
07/27/2011,25
07/27/2011,18
07/27/2011,16
07/27/2011,51
07/27/2011,23
07/28/2011,68
07/28/2011,68
07/28/2011,68
07/28/2011,68
07/28/2011,51
07/29/2011,43
07/29/2011,45
07/29/2011,49
07/29/2011,67
07/29/2011,12
07/31/2011,61
07/31/2011,61
08/01/2011,13
08/01/2011,25
08/01/2011,42
08/01/2011,46
08/01/2011,61
08/01/2011,61
08/01/2011,61
08/02/2011,69
08/02/2011,43
08/02/2011,66
08/02/2011,61
08/02/2011,26
08/02/2011,26
08/02/2011,21
08/02/2011,49
08/02/2011,49
08/03/2011,71
08/03/2011,43
08/03/2011,25
08/03/2011,45
08/03/2011,42
08/03/2011,43
08/03/2011,49
08/03/2011,25
08/03/2011,25
08/03/2011,31
08/04/2011,46
08/04/2011,67
08/04/2011,73
08/05/2011,29
08/05/2011,47
08/05/2011,25
08/05/2011,68
08/06/2011,49
08/06/2011,68
08/07/2011,25
08/07/2011,50
08/08/2011,67
08/08/2011,46
08/08/2011,73
08/08/2011,52
08/08/2011,42
08/09/2011,50
08/09/2011,52
08/09/2011,61
08/09/2011,68
08/09/2011,61
08/09/2011,49
08/09/2011,25
08/09/2011,26
08/10/2011,52
08/10/2011,49
08/10/2011,49
08/10/2011,69
08/10/2011,22
08/10/2011,48
08/10/2011,23
08/10/2011,69
08/11/2011,69
08/11/2011,10
08/11/2011,30
08/11/2011,52
08/11/2011,46
08/12/2011,66
08/12/2011,46
08/13/2011,42
08/14/2011,19
08/15/2011,23
08/15/2011,44
08/15/2011,66
08/15/2011,10
08/15/2011,23
08/15/2011,71
08/15/2011,71
08/15/2011,26
08/15/2011,67
08/16/2011,67
08/16/2011,26
08/17/2011,75
08/17/2011,66
08/17/2011,49
08/17/2011,53
08/17/2011,53
08/18/2011,30
08/18/2011,71
08/18/2011,51
08/18/2011,67
08/19/2011,49
08/19/2011,68
08/19/2011,67
08/19/2011,68
08/19/2011,49
08/19/2011,71
08/19/2011,51
08/19/2011,29
08/20/2011,46
08/22/2011,43
08/22/2011,61
08/22/2011,25
08/22/2011,66
08/22/2011,71
08/22/2011,71
08/22/2011,67
08/22/2011,70
08/22/2011,73
08/22/2011,68
08/22/2011,29
08/22/2011,25
08/23/2011,29
08/23/2011,22
08/23/2011,49
08/23/2011,49
08/23/2011,49
08/23/2011,63
08/23/2011,16
08/24/2011,63
08/24/2011,8
08/24/2011,61
08/24/2011,65
08/24/2011,66
08/24/2011,67
08/24/2011,43
08/24/2011,74
08/24/2011,7
08/24/2011,25
08/24/2011,69
08/24/2011,51
08/25/2011,71
08/25/2011,69
08/25/2011,46
08/25/2011,68
08/25/2011,16
08/25/2011,66
08/25/2011,19
08/25/2011,43
08/26/2011,12
08/26/2011,25
08/26/2011,71
08/26/2011,25
08/26/2011,69
08/26/2011,48
08/26/2011,13
08/27/2011,61
08/27/2011,22
08/27/2011,44
08/27/2011,46
08/27/2011,30
08/27/2011,61
08/27/2011,43
08/28/2011,27
08/28/2011,37
08/28/2011,49
08/29/2011,72
08/29/2011,46
08/30/2011,61
08/30/2011,44
08/30/2011,25
08/30/2011,52
08/30/2011,53
08/30/2011,42
09/13/2011,23
08/30/2011,66
08/30/2011,66
08/30/2011,66
08/30/2011,18
08/30/2011,26
08/31/2011,68
08/31/2011,2
08/31/2011,10
08/31/2011,67
09/01/2011,74
09/01/2011,51
09/01/2011,21
09/01/2011,15
09/02/2011,42
09/02/2011,67
09/02/2011,48
09/02/2011,50
09/02/2011,26
09/02/2011,67
09/03/2011,69
09/04/2011,23
09/04/2011,7
09/05/2011,67
09/06/2011,25
09/06/2011,44
09/06/2011,53
09/06/2011,21
09/06/2011,68
09/06/2011,42
09/06/2011,68
09/06/2011,23
09/06/2011,71
09/07/2011,30
09/07/2011,49
09/07/2011,58
09/07/2011,71
09/07/2011,61
09/07/2011,49
09/08/2011,19
09/08/2011,49
09/08/2011,68
09/08/2011,25
09/08/2011,43
09/08/2011,67
09/08/2011,53
09/08/2011,54
09/08/2011,37
09/09/2011,56
09/09/2011,67
09/09/2011,58
09/09/2011,69
09/09/2011,69
09/09/2011,27
09/09/2011,61
09/09/2011,53
09/10/2011,68
09/10/2011,49
09/10/2011,66
09/10/2011,67
09/10/2011,5
09/10/2011,53
09/10/2011,53
09/10/2011,53
09/10/2011,53
09/10/2011,53
09/11/2011,23
09/11/2011,39
09/11/2011,23
09/12/2011,45
09/12/2011,42
09/12/2011,67
09/12/2011,49
09/13/2011,67
09/13/2011,43
09/13/2011,22
09/13/2011,37
09/13/2011,26
09/13/2011,21
09/14/2011,25
09/14/2011,71
09/14/2011,68
09/14/2011,25
09/15/2011,52
09/15/2011,63
09/15/2011,71
09/16/2011,67
09/16/2011,26
09/16/2011,48
09/16/2011,68
09/17/2011,48
09/17/2011,68
09/17/2011,27
09/18/2011,23
09/18/2011,63
09/19/2011,25
09/19/2011,25
09/19/2011,68
09/19/2011,15
09/19/2011,22
09/19/2011,58
09/20/2011,69
09/20/2011,68
09/20/2011,23
09/20/2011,69
09/21/2011,49
09/21/2011,61
09/21/2011,25
09/21/2011,67
09/21/2011,42
09/22/2011,14
09/22/2011,22
09/22/2011,22
09/22/2011,43
09/22/2011,43
09/22/2011,43
09/22/2011,49
09/22/2011,61
09/22/2011,24
09/22/2011,68
09/23/2011,23
09/23/2011,53
09/23/2011,53
09/25/2011,17
09/26/2011,43
09/26/2011,74
09/26/2011,53
09/26/2011,52
09/26/2011,49
09/26/2011,49
09/27/2011,29
09/27/2011,62
09/27/2011,68
09/27/2011,27
09/27/2011,53
09/27/2011,26
09/27/2011,26
09/27/2011,26
09/27/2011,26
09/27/2011,26
09/28/2011,53
09/28/2011,52
09/29/2011,52
09/29/2011,66
09/29/2011,27
09/29/2011,27
09/29/2011,27
09/29/2011,25
09/29/2011,26
09/29/2011,49
09/30/2011,66
09/30/2011,69
09/30/2011,49
09/30/2011,37
09/30/2011,69
09/30/2011,52
09/30/2011,43
09/30/2011,43
10/01/2011,23
10/01/2011,46
10/01/2011,43
10/03/2011,43
10/03/2011,45
10/03/2011,27
10/03/2011,27
10/03/2011,27
10/03/2011,52
10/03/2011,8
10/03/2011,29
10/03/2011,29
10/03/2011,29
10/03/2011,21
10/04/2011,6
10/04/2011,53
10/04/2011,27
10/04/2011,29
10/04/2011,26
10/04/2011,49
10/04/2011,53
10/04/2011,71
10/05/2011,23
10/05/2011,67
10/05/2011,67
10/05/2011,29
10/05/2011,23
10/06/2011,52
10/06/2011,23
10/06/2011,61
10/06/2011,66
10/06/2011,44
10/06/2011,27
10/06/2011,27
10/06/2011,27
10/06/2011,27
10/06/2011,27
10/07/2011,25
10/07/2011,25
10/07/2011,25
10/07/2011,25
10/07/2011,68
10/07/2011,44
10/08/2011,69
10/09/2011,51
10/09/2011,14
10/09/2011,67
10/09/2011,19
10/10/2011,27
10/10/2011,23
10/11/2011,49
10/11/2011,43
10/11/2011,23
10/11/2011,49
10/11/2011,29
10/11/2011,61
10/12/2011,49
10/12/2011,66
10/12/2011,25
10/12/2011,44
10/12/2011,25
10/12/2011,25
10/12/2011,42
10/12/2011,10
10/12/2011,43
10/12/2011,71
10/12/2011,49
10/12/2011,43
10/13/2011,25
10/14/2011,11
10/14/2011,26
10/14/2011,26
10/15/2011,68
